7262100.11 373661.61 119
7261971.33 373679.51 121
7261854.21 373702.19 121
7261732.07 373717.40 121
7261606.21 373737.37 123
7261484.82 373758.95 124
7261360.02 373780.87 124
7261239.71 373798.33 122
7261114.96 373820.14 128
7260992.10 373835.64 127
7260868.25 373852.88 128
7260741.74 373875.73 130
7260619.63 373896.17 133
7260495.08 373915.08 130
7260372.33 373932.07 134
7260249.53 373942.77 132
7260125.63 373967.51 138
7260001.24 373988.23 134
7259879.94 374007.59 140
7259754.67 374029.05 138
7259630.66 374050.02 142
7259509.70 374069.96 143
7259384.18 374088.59 145
7259259.89 374108.15 148
7259139.78 374127.32 147
7259014.31 374149.95 150
7258891.92 374165.66 150
7258768.82 374184.54 149
7258642.54 374203.98 153
7258523.59 374228.33 151
7258398.91 374249.12 153
7258097.42 373280.01 151
7258222.45 373255.08 152
7258347.88 373240.15 150
7258470.68 373221.79 150
7258593.85 373201.04 150
7258716.75 373185.85 152
7258838.72 373164.72 150
7258962.46 373146.94 150
7259089.33 373124.80 148
7259212.39 373105.09 145
7259333.24 373085.73 144
7259459.27 373072.31 145
7259579.10 373038.75 142
7259703.94 373023.94 141
7259829.47 373006.12 136
7259949.71 372985.96 135
7260073.06 372966.89 135
7260199.73 372956.42 136
7260321.25 372931.62 132
7260444.15 372908.99 133
7260566.55 372886.21 130
7260690.93 372866.03 128
7260817.56 372854.15 128
7260941.11 372828.72 127
7261061.82 372807.25 126
7261187.01 372791.98 126
7261311.78 372772.95 123
7261432.12 372751.77 123
7261557.88 372732.04 119
7261680.75 372715.59 121
7261803.41 372694.09 121
7261927.83 372677.21 120
7262052.14 372655.34 120
7262171.85 372634.01 118
7262295.14 372612.18 118
7262421.61 372595.90 118
7262543.83 372577.92 116
7262666.86 372553.65 114
7262791.03 372541.15 113
7262914.96 372523.41 113
7263038.89 372501.53 113
7263161.16 372484.90 109
7263287.50 372462.00 106
7263410.41 372439.84 104
7263531.93 372424.51 105
7263655.45 372407.59 105
7263780.68 372386.56 103
7263903.41 372364.00 99
7264025.93 372341.49 97
7264148.55 372322.07 100
7264271.92 372306.02 99
7264397.64 372286.00 98
7264517.80 372264.72 95
7264641.78 372246.62 95
7264767.30 372226.52 89
7264891.47 372209.13 87
7265014.64 372185.96 90
7265138.24 372163.10 91
7265260.28 372148.12 85
